locationcode,aids_prev_all1988,aids_prev_all1989,aids_prev_all1990,aids_prev_all1991,aids_prev_all1992,aids_prev_all1993,aids_prev_all1994,aids_prev_all1995,aids_prev_all1996,aids_prev_all1997,aids_prev_all1998,aids_prev_all1999,aids_prev_all2000,aids_prev_all2001,aids_prev_all2002,aids_prev_all2003,aids_prev_all2004,aids_prev_all2005,aids_prev_all2006,aids_prev_all2007,aids_prev_all2008,aids_prev_all2009,aids_prev_all2010,aids_prev_all2011,aids_prev_all2012,aids_prev_all2013,aids_prev_all2014,aids_prev_all2015,aids_prev_all2016,aids_prev_all2017,aids_prev_all2018
80,35,46,56,74,102,126,125,144,150,177,200,232,244,271,284,311,325,332,352,361,366,371,384,377,377,388,371,391,419,434,447
160,84,132,188,267,335,409,450,488,539,578,616,658,701,733,792,852,910,941,987,1016,1038,1048,965,1034,1004,842,921,1028,1190,1243,1237
200,94,124,180,236,269,303,296,315,329,378,389,414,441,470,486,515,555,587,611,647,675,708,428,918,932,920,921,934,938,949,982
240,43,60,82,114,177,211,236,268,303,350,384,434,467,488,513,529,538,568,625,672,702,722,711,733,771,791,763,773,518,655,612
520,981,1312,1805,2315,2787,3304,3794,4107,4490,5052,5579,5947,6380,6842,7473,8208,9115,9675,10290,11021,11996,12829,10101,11384,13010,17497,14612,16276,16278,17611,18317
640,183,263,376,518,708,933,1015,1031,1152,1283,1404,1526,1606,1712,1776,1864,1954,2092,2199,2314,2427,2550,2787,2871,2933,3000,3007,3031,3047,3051,3118
680,38,63,82,141,215,255,299,359,422,484,539,592,650,715,785,839,876,915,953,988,1031,1055,954,917,877,838,825,823,799,850,887
720,561,820,1212,1675,2369,3165,3625,4003,4460,5077,5622,6108,6520,6980,7446,7791,8214,8543,8860,8983,9128,9271,7866,7069,8448,9230,8827,9768,9033,8489,7906
760,56,82,106,148,223,327,414,469,599,708,804,919,1050,1161,1314,1426,1512,1571,1672,1768,1908,2021,2238,2418,2481,2615,2637,2616,2666,2690,2650
1000,96,129,179,286,367,396,396,415,488,586,654,725,770,787,834,903,961,1017,1063,1107,1144,1165,830,1075,1268,1502,1620,1658,1676,1724,1804
1123,937,1234,1526,1918,2482,2925,3062,3164,3443,3804,4275,4611,4923,5166,5467,5680,5981,6272,6538,6766,6961,7148,6611,6697,7470,7613,7629,7643,7609,7624,7576
1280,82,126,161,202,245,364,410,438,515,550,610,672,756,811,844,886,912,942,964,1013,1039,1059,1056,1197,1228,1231,1250,1220,1279,1297,1299
1440,59,106,117,197,273,358,385,417,457,487,557,619,682,721,763,815,860,903,938,983,1038,1070,794,1463,897,891,893,1300,1309,1298,1331
1520,115,153,173,251,342,391,439,470,490,579,687,762,846,969,1149,1334,1464,1600,1746,1883,2042,2211,2335,2722,2644,2594,2864,3366,3482,3579,3760
