"Notes"	"Year Diagnosed"	"Year Diagnosed Code"	"Location"	"Location Code"	Cases
	"Before 1982"	"1981"	"Akron, OH"	"0080"	0
	"Before 1982"	"1981"	"Albany-Schenectady, NY"	"0160"	0
	"Before 1982"	"1981"	"Albuquerque, N.M."	"0200"	0
	"Before 1982"	"1981"	"Allentown, PA"	"0240"	0
	"Before 1982"	"1981"	"Ann Arbor, MI"	"0440"	0
	"Before 1982"	"1981"	"Atlanta, GA"	"0520"	9
	"Before 1982"	"1981"	"Austin, TX"	"0640"	0
	"Before 1982"	"1981"	"Bakersfield, CA"	"0680"	2
	"Before 1982"	"1981"	"Baltimore, MD"	"0720"	2
	"Before 1982"	"1981"	"Baton Rouge, LA"	"0760"	0
	"Before 1982"	"1981"	"Bergen-Passaic, NJ"	"0875"	6
	"Before 1982"	"1981"	"Birmingham, AL"	"1000"	0
	"Before 1982"	"1981"	"Boston, MA"	"1123"	7
	"Before 1982"	"1981"	"Buffalo, NY"	"1280"	6
	"Before 1982"	"1981"	"Charleston, SC"	"1440"	0
	"Before 1982"	"1981"	"Charlotte, NC"	"1520"	0
	"Before 1982"	"1981"	"Chicago, IL"	"1600"	5
	"Before 1982"	"1981"	"Cincinnati, OH"	"1640"	0
	"Before 1982"	"1981"	"Cleveland, OH"	"1680"	1
	"Before 1982"	"1981"	"Colorado Springs, CO"	"1720"	0
	"Before 1982"	"1981"	"Columbia, SC"	"1760"	0
	"Before 1982"	"1981"	"Columbus, OH"	"1840"	0
	"Before 1982"	"1981"	"Dallas, TX"	"1920"	1
	"Before 1982"	"1981"	"Dayton, OH"	"2000"	0
	"Before 1982"	"1981"	"Daytona Beach, FL"	"2020"	0
	"Before 1982"	"1981"	"Denver, CO"	"2080"	0
	"Before 1982"	"1981"	"Detroit, MI"	"2160"	3
	"Before 1982"	"1981"	"El Paso, TX"	"2320"	1
	"Before 1982"	"1981"	"Fort Lauderdale, FL"	"2680"	2
	"Before 1982"	"1981"	"Fort Wayne, IN"	"2760"	0
	"Before 1982"	"1981"	"Fort Worth, TX"	"2800"	0
	"Before 1982"	"1981"	"Fresno, CA"	"2840"	0
	"Before 1982"	"1981"	"Gary, IN"	"2960"	1
	"Before 1982"	"1981"	"Grand Rapids, MI"	"3000"	0
	"Before 1982"	"1981"	"Greensboro, NC"	"3120"	0
	"Before 1982"	"1981"	"Greenvile, SC"	"3160"	0
	"Before 1982"	"1981"	"Harrisburg, PA"	"3240"	0
	"Before 1982"	"1981"	"Hartford, CT"	"3283"	2
	"Before 1982"	"1981"	"Honolulu, HI"	"3320"	1
	"Before 1982"	"1981"	"Houston, TX"	"3360"	11
	"Before 1982"	"1981"	"Indianapolis, IN"	"3480"	0
	"Before 1982"	"1981"	"Jacksonville, FL"	"3600"	1
	"Before 1982"	"1981"	"Jersey City, NJ"	"3640"	5
	"Before 1982"	"1981"	"Kansas City, MO"	"3760"	2
	"Before 1982"	"1981"	"Knoxville, TN"	"3840"	0
	"Before 1982"	"1981"	"Las Vegas, NV"	"4120"	0
	"Before 1982"	"1981"	"Little Rock, AR"	"4400"	0
	"Before 1982"	"1981"	"Los Angeles, CA"	"4480"	27
	"Before 1982"	"1981"	"Louisville, KY"	"4520"	0
	"Before 1982"	"1981"	"McAllen-Edinburg-Mission, TX"	"4880"	0
	"Before 1982"	"1981"	"Memphis, TN"	"4920"	0
	"Before 1982"	"1981"	"Miami, FL"	"5000"	10
	"Before 1982"	"1981"	"Middlesex, NJ"	"5015"	2
	"Before 1982"	"1981"	"Milwaukee, WI"	"5080"	0
	"Before 1982"	"1981"	"Minneapolis-St Paul, MN"	"5120"	0
	"Before 1982"	"1981"	"Mobile, Al"	"5160"	0
	"Before 1982"	"1981"	"Monmouth-Ocean City, NJ"	"5190"	0
	"Before 1982"	"1981"	"Nashville, TN"	"5360"	0
	"Before 1982"	"1981"	"Nassau-Suffolk, NY"	"5380"	0
	"Before 1982"	"1981"	"New Haven, CT"	"5483"	6
	"Before 1982"	"1981"	"New Orleans, LA"	"5560"	2
	"Before 1982"	"1981"	"New York, NY"	"5600"	181
	"Before 1982"	"1981"	"Newark, NJ"	"5640"	13
	"Before 1982"	"1981"	"Norfolk, VA"	"5720"	0
	"Before 1982"	"1981"	"Oakland, CA"	"5775"	4
	"Before 1982"	"1981"	"Oklahoma City, OK"	"5880"	1
	"Before 1982"	"1981"	"Omaha, NE"	"5920"	0
	"Before 1982"	"1981"	"Orange County, CA"	"5945"	6
	"Before 1982"	"1981"	"Orlando, FL"	"5960"	1
	"Before 1982"	"1981"	"Philadelphia, PA"	"6160"	6
	"Before 1982"	"1981"	"Phoenix, AZ"	"6200"	1
	"Before 1982"	"1981"	"Pittsburgh, PA"	"6280"	1
	"Before 1982"	"1981"	"Portland, OR"	"6440"	2
	"Before 1982"	"1981"	"Providence, RI"	"6483"	0
	"Before 1982"	"1981"	"Raleigh-Durham, NC"	"6640"	1
	"Before 1982"	"1981"	"Richmond, VA"	"6760"	0
	"Before 1982"	"1981"	"Riverside-S Berndino, CA"	"6780"	3
	"Before 1982"	"1981"	"Rochester, NY"	"6840"	0
	"Before 1982"	"1981"	"Sacramento, CA"	"6920"	0
	"Before 1982"	"1981"	"Saint Louis, MO"	"7040"	1
	"Before 1982"	"1981"	"Salt Lake City, UT"	"7160"	0
	"Before 1982"	"1981"	"San Antonio, TX"	"7240"	1
	"Before 1982"	"1981"	"San Diego, CA"	"7320"	2
	"Before 1982"	"1981"	"San Francisco, CA"	"7360"	32
	"Before 1982"	"1981"	"San Jose, CA"	"7400"	0
	"Before 1982"	"1981"	"San Juan, PR"	"7440"	1
	"Before 1982"	"1981"	"Sarasota, FL"	"7510"	0
	"Before 1982"	"1981"	"Scranton, PA"	"7560"	0
	"Before 1982"	"1981"	"Seattle, WA"	"7600"	0
	"Before 1982"	"1981"	"Springfield, MA"	"8003"	0
	"Before 1982"	"1981"	"Stockton, CA"	"8120"	0
	"Before 1982"	"1981"	"Syracuse, NY"	"8160"	3
	"Before 1982"	"1981"	"Tacoma, WA"	"8200"	0
	"Before 1982"	"1981"	"Tampa-Saint Petersburg, FL"	"8280"	5
	"Before 1982"	"1981"	"Toledo, OH"	"8400"	0
	"Before 1982"	"1981"	"Tucson, AZ"	"8520"	0
	"Before 1982"	"1981"	"Tulsa, OK"	"8560"	0
	"Before 1982"	"1981"	"Vallejo-Fairfield-Napa, CA"	"8720"	0
	"Before 1982"	"1981"	"Ventura, CA"	"8735"	0
	"Before 1982"	"1981"	"Washington, DC"	"8840"	6
	"Before 1982"	"1981"	"West Palm Beach, FL"	"8960"	1
	"Before 1982"	"1981"	"Wichita, KS"	"9040"	0
	"Before 1982"	"1981"	"Wilmington, DE"	"9160"	1
