"geo_uq_hhid_str","final_status","geo_state","geo_state_id_str","geo_district","geo_district_id_str","geo_ac_id","geo_ac_id_str","geo_ps_id","geo_ps_id_str","lgd_district_id","district_population","total_cases","cases_per_100000","total_deaths","deaths_per_100000","hm_inpatientstotal","tot_hops_per_100000","dist_prop_covid_zone","color_zone","red_zone","orange_zone","district_sample_size","state_sample_size","demo_location","demo_caste","demo_caste_oth","demo_religion","demo_religion_oth","demo_ration_card","demo_ration_card_type","demo_monthly_income","demo_month_income_num","tran_demo_month_inc","demo_fem_hoh_edu","demo_fem_hoh_dropout","asset_car","asset_jeep","asset_motorcycle","asset_scooter","asset_cycle","asset_refrigerator","asset_radio","asset_tv","asset_fan","asset_almirah","asset_stove","asset_pressure_cook","asset_furniture","asset_mobile","asset_index","demo_respondent_gender","roster_age_yrs","demo_marital_status","m_edu","ind_m_edu","f_edu","ind_f_edu","m_working","f_working","m_earning_normal","f_earning_normal","m_earning_current","f_earning_current","inc_normal","tran_inc_normal","inc_current","tran_inc_current","resp_has_son","resp_has_daughter","men_count","women_count","son_count","child_count","newm_milk","newm_pulses","newm_veg","newm_fruits","newm_eggs","newm_fish","newm_meat","newm_index","newf_milk","newf_pulses","newf_veg","newf_fruits","newf_eggs","newf_fish","newf_meat","newf_index","ind_covid_zone","hh_num_inc_reduced","wished_food_self","wished_food_children","ind_meals_reduced","covid_alcohol","ind_covid_alcohol","fem_marital_status","fem_resp_age","fem_resp_edu","ind_fem_resp_edu","fem_resp_children","fem_resp_sons","fem_resp_daughters","fem_resp_has_child","fem_resp_has_son","fem_resp_has_daughter","fem_mom_in_law_in_hh","fem_resp_head_hh","fem_con_children","fem_contraception","fem_dec_usual","rev_fem_dec_change","fem_money_use","ind_resp_more_inv","fem_resource_usual","rev_fem_resource_change","ind_fem_resource_change","fem_depressed","rev_fem_depression_change","ind_fem_depression_change","fem_tired","rev_fem_tired_change","ind_fem_tired_change","fem_worried","rev_fem_worried_change","ind_fem_worried_change","fem_safety","rev_fem_safety_change","ind_fem_safety_change","mental_index_change","fem_refusal","obs_resp1_privacy","obs_fem_honesty","obs_fem_privacy","h4_ave_educ_years","h4_ave_wealth_index","f4_med_milk","f4_med_pulses","f4_med_veg","f4_med_fruits","f4_med_eggs","f4_med_fish","f4_med_meat","f4_ave_tot_children_born","f4_ave_f_occ","f4_ave_f_week","f4_ave_f_daily","m4_med_milk","m4_med_pulses","m4_med_veg","m4_med_fruits","m4_med_eggs","m4_med_fish","m4_med_meat","m4_ave_m_occ","m4_ave_m_week","m4_ave_m_daily","resid5","resid8","resid_diff","work5","work8","work_diff","transit5","transit8","transit_diff"
"10206057027RD3PLW1",1,10,"10",206,"206",57,"057",27,"027","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,4,"",1,"",1,3,11,12500,10.1266307830811,4,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.290540188550949,2,45,1,6,1,5,1,1,NA,6000,NA,0,NA,6000,9.39266204833984,0,0,0,1,1,2,0,2,1,1,1,1,2,3,3,0,2,3,2,1,2,1,3,0.5,0,1,0,4,0,4,0,0,35,5,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,0,1,2,0,0,1,1,0,2,0,0,1,1,1,2,0,0.666666686534882,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206057167RD3PLW1",1,10,"10",206,"206",57,"057",167,"167","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,4,"",1,"",1,3,7,6500,9.47270488739014,4,8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.19327509403229,1,50,1,4,1,4,1,1,NA,7000,NA,0,NA,7000,9.54681301116943,0,0,1,0,2,1,1,2,3,1,1,3,4,3,3,0.25,2,1,1,3,4,3,3,0,0,2,NA,NA,0,4,0,1,25,4,1,2,0,2,1,0,1,0,0,NA,6,2,1,1,0,3,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206057176RD3PLW1",1,10,"10",206,"206",57,"057",176,"176","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,2,"",1,"",1,2,5,4500,9.10497951507568,1,NA,0,0,0,0,1,0,0,0,0,1,1,0,0,1,-1.20317435264587,1,70,1,3,0,1,0,0,NA,0,NA,0,NA,0,0,0,0,1,1,1,2,1,2,1,2,3,3,3,3,3,0.25,1,2,3,3,3,3,3,0.5,0,2,5,7,0,4,0,1,18,1,0,2,0,2,1,0,1,1,0,7,4,2,1,0,0,3,2,0,3,2,0,0,2,0,0,2,0,3,2,0,0,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206057491RD3PLW3",1,10,"10",206,"206",57,"057",491,"491","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,2,"",1,"",0,NA,5,4500,9.10497951507568,1,NA,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-1.3236927986145,1,45,1,4,1,1,0,0,NA,8000,NA,0,NA,8000,9.68034362792969,0,0,1,1,1,3,3,NA,1,2,2,3,4,3,3,0,1,2,1,3,4,3,3,0.25,0,0,2,0,0,4,0,1,45,1,0,5,3,2,1,1,1,0,0,0,6,2,6,0,0,3,2,0,0,2,0,0,2,0,1,2,0,0,1,1,0,NA,1,1,1,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206057552RD3PLW3",1,10,"10",206,"206",57,"057",552,"552","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.412844032049179,"Green Zone",0,0,114,535,2,2,"",1,"",0,NA,9,8500,9.74096870422363,1,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-1.89468264579773,2,35,1,2,0,1,0,1,NA,9000,NA,9000,NA,9000,9.79812717437744,9000,9.79812717437744,1,1,2,1,1,2,3,1,1,3,4,4,4,0.25,3,1,2,3,4,3,3,0.5,1,1,0,0,0,4,0,1,30,1,0,3,2,1,1,1,1,0,1,NA,6,4,1,0,0,3,2,0,3,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206081178RD3PLW1",1,10,"10",206,"206",81,"081",178,"178","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.412844032049179,"Green Zone",0,0,114,535,2,NA,"",1,"",1,1,10,9500,9.85219383239746,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.19327509403229,1,42,1,3,0,1,0,0,NA,7000,NA,0,NA,7000,9.54681301116943,0,0,1,1,3,3,1,7,1,2,1,4,3,3,3,0.25,1,2,1,4,3,3,3,0.5,1,1,0,0,1,4,0,1,35,1,0,5,2,3,1,1,1,1,0,0,4,3,2,0,0,3,2,0,1,1,1,0,1,1,0,1,1,0,3,0,1,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206081352RD3PLW3",1,10,"10",206,"206",81,"081",352,"352","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,1,2,"",1,"",1,1,11,12500,10.1266307830811,1,NA,0,0,1,0,1,0,1,1,1,1,1,1,1,1,3.17284369468689,2,20,0,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,3,0,0,0,0,0,0,4,0,0,20,7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,6,0,0,5,2,0,3,3,0,0,2,0,0,3,0,3,3,0,0,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206081429RD3PLW2",1,10,"10",206,"206",81,"081",429,"429","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.412844032049179,"Green Zone",0,0,114,535,2,4,"",2,"",0,NA,6,5500,9.30565071105957,4,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-0.501766800880432,2,32,1,1,0,3,0,0,NA,6000,NA,0,NA,6000,9.39266204833984,0,0,0,1,1,1,0,2,1,1,2,2,2,3,2,0,3,1,3,2,3,3,3,0.5,1,1,2,7,1,4,0,1,22,3,0,2,0,2,1,0,1,0,1,NA,1,1,2,0,0,3,2,0,2,2,0,2,2,0,1,2,0,3,2,0,0,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206081462RD3PLW2",1,10,"10",206,"206",81,"081",462,"462","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,4,"",1,"",1,1,10,9500,9.85219383239746,1,NA,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0.159441262483597,1,23,1,3,0,3,0,0,NA,5000,NA,0,NA,5000,9.21034049987793,0,0,0,1,1,1,0,1,3,2,1,3,3,3,3,0.25,2,2,1,3,3,3,3,0.25,0,2,0,0,1,4,0,1,20,2,0,1,0,1,1,0,1,0,0,0,1,2,1,0,0,3,2,0,1,2,0,1,2,0,1,2,0,1,2,0,0,NA,1,1,1,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10206081480RD3PLW3",1,10,"10",206,"206",81,"081",480,"480","221",3423574,478,13.9620170593262,4,0.116836965084076,6819,199.177810668945,0.422018349170685,"Green Zone",0,0,114,535,2,2,"",1,"",0,NA,9,8500,9.74096870422363,1,NA,0,0,0,0,1,0,0,0,1,0,1,0,1,1,-0.632865726947784,1,23,1,5,1,5,1,0,NA,12000,NA,0,NA,12000,10.0858087539673,0,0,0,0,1,2,0,NA,1,3,2,4,4,3,3,0.5,1,3,2,1,4,4,4,0.5,0,1,4,NA,0,4,0,1,20,3,0,0,0,0,0,0,0,0,0,NA,6,2,1,1,0,3,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,NA,2,2,2,3.30614399909973,1.49894297122955,2,1,1,3,3,3,3,2.58228969573975,0.983005344867706,0.688729882240295,0.402057230472565,2,2,2,3,2,2,3,0.97180449962616,0.706766903400421,0.216165408492088,NA,NA,NA,NA,NA,NA,NA,NA,NA
