Year Reported,year,Location,cityfip,aids_rep
1987,1987,"Akron, OH",0080,15
1987,1987,"Albany-Schenectady, NY",0160,37
1987,1987,"Albuquerque, N.M.",0200,30
1987,1987,"Allentown, PA",0240,14
1987,1987,"Ann Arbor, MI",0440,9
1987,1987,"Atlanta, GA",0520,369
1987,1987,"Austin, TX",0640,87
1987,1987,"Bakersfield, CA",0680,14
1987,1987,"Baltimore, MD",0720,221
1987,1987,"Baton Rouge, LA",0760,21
1987,1987,"Bergen-Passaic, NJ",0875,215
1987,1987,"Birmingham, AL",1000,40
1987,1987,"Boston, MA",1123,412
1987,1987,"Buffalo, NY",1280,26
1987,1987,"Charleston, SC",1440,18
1987,1987,"Charlotte, NC",1520,50
1987,1987,"Chicago, IL",1600,568
1987,1987,"Cincinnati, OH",1640,57
1987,1987,"Cleveland, OH",1680,98
1987,1987,"Colorado Springs, CO",1720,7
1987,1987,"Columbia, SC",1760,11
1987,1987,"Columbus, OH",1840,67
1987,1987,"Dallas, TX",1920,493
1987,1987,"Dayton, OH",2000,33
1987,1987,"Daytona Beach, FL",2020,22
1987,1987,"Denver, CO",2080,187
1987,1987,"Detroit, MI",2160,136
1987,1987,"El Paso, TX",2320,16
1987,1987,"Fort Lauderdale, FL",2680,289
1987,1987,"Fort Wayne, IN",2760,14
1987,1987,"Fort Worth, TX",2800,86
1987,1987,"Fresno, CA",2840,21
1987,1987,"Gary, IN",2960,9
1987,1987,"Grand Rapids, MI",3000,17
1987,1987,"Greensboro, NC",3120,32
1987,1987,"Greenvile, SC",3160,18
1987,1987,"Harrisburg, PA",3240,27
1987,1987,"Hartford, CT",3283,69
1987,1987,"Honolulu, HI",3320,68
1987,1987,"Houston, TX",3360,697
1987,1987,"Indianapolis, IN",3480,59
1987,1987,"Jacksonville, FL",3600,95
1987,1987,"Jersey City, NJ",3640,256
1987,1987,"Kansas City, MO",3760,129
1987,1987,"Knoxville, TN",3840,13
1987,1987,"Las Vegas, NV",4120,68
1987,1987,"Little Rock, AR",4400,23
1987,1987,"Los Angeles, CA",4480,1818
1987,1987,"Louisville, KY",4520,19
1987,1987,"McAllen-Edinburg-Mission, TX",4880,5
1987,1987,"Memphis, TN",4920,28
1987,1987,"Miami, FL",5000,474
1987,1987,"Middlesex, NJ",5015,118
1987,1987,"Milwaukee, WI",5080,59
1987,1987,"Minneapolis-St Paul, MN",5120,109
1987,1987,"Mobile, Al",5160,37
1987,1987,"Monmouth-Ocean City, NJ",5190,81
1987,1987,"Nashville, TN",5360,11
1987,1987,"Nassau-Suffolk, NY",5380,200
1987,1987,"New Haven, CT",5483,159
1987,1987,"New Orleans, LA",5560,237
1987,1987,"New York, NY",5600,3393
1987,1987,"Newark, NJ",5640,626
1987,1987,"Norfolk, VA",5720,59
1987,1987,"Oakland, CA",5775,343
1987,1987,"Oklahoma City, OK",5880,56
1987,1987,"Omaha, NE",5920,14
1987,1987,"Orange County, CA",5945,248
1987,1987,"Orlando, FL",5960,66
1987,1987,"Philadelphia, PA",6160,501
1987,1987,"Phoenix, AZ",6200,151
1987,1987,"Pittsburgh, PA",6280,99
1987,1987,"Portland, OR",6440,143
1987,1987,"Providence, RI",6483,62
1987,1987,"Raleigh-Durham, NC",6640,50
1987,1987,"Richmond, VA",6760,48
1987,1987,"Riverside-S Berndino, CA",6780,179
1987,1987,"Rochester, NY",6840,46
1987,1987,"Sacramento, CA",6920,110
1987,1987,"Saint Louis, MO",7040,91
1987,1987,"Salt Lake City, UT",7160,34
1987,1987,"San Antonio, TX",7240,58
1987,1987,"San Diego, CA",7320,395
1987,1987,"San Francisco, CA",7360,1545
1987,1987,"San Jose, CA",7400,120
1987,1987,"San Juan, PR",7440,139
1987,1987,"Sarasota, FL",7510,16
1987,1987,"Scranton, PA",7560,12
1987,1987,"Seattle, WA",7600,248
1987,1987,"Springfield, MA",8003,23
1987,1987,"Stockton, CA",8120,23
1987,1987,"Syracuse, NY",8160,17
1987,1987,"Tacoma, WA",8200,19
1987,1987,"Tampa-Saint Petersburg, FL",8280,167
1987,1987,"Toledo, OH",8400,15
1987,1987,"Tucson, AZ",8520,52
1987,1987,"Tulsa, OK",8560,23
1987,1987,"Vallejo-Fairfield-Napa, CA",8720,32
1987,1987,"Ventura, CA",8735,24
1987,1987,"Washington, DC",8840,763
1987,1987,"West Palm Beach, FL",8960,197
1987,1987,"Wichita, KS",9040,11
1987,1987,"Wilmington, DE",9160,31
1987,1987,"Youngstown, OH",9320,12
1987,1987,NA,NA,18879
1988,1988,"Akron, OH",0080,26
1988,1988,"Albany-Schenectady, NY",0160,61
1988,1988,"Albuquerque, N.M.",0200,34
1988,1988,"Allentown, PA",0240,25
1988,1988,"Ann Arbor, MI",0440,20
1988,1988,"Atlanta, GA",0520,612
1988,1988,"Austin, TX",0640,109
1988,1988,"Bakersfield, CA",0680,22
1988,1988,"Baltimore, MD",0720,320
1988,1988,"Baton Rouge, LA",0760,36
1988,1988,"Bergen-Passaic, NJ",0875,295
1988,1988,"Birmingham, AL",1000,65
1988,1988,"Boston, MA",1123,669
1988,1988,"Buffalo, NY",1280,55
1988,1988,"Charleston, SC",1440,41
1988,1988,"Charlotte, NC",1520,65
1988,1988,"Chicago, IL",1600,882
1988,1988,"Cincinnati, OH",1640,68
1988,1988,"Cleveland, OH",1680,128
1988,1988,"Colorado Springs, CO",1720,21
1988,1988,"Columbia, SC",1760,35
1988,1988,"Columbus, OH",1840,121
1988,1988,"Dallas, TX",1920,547
1988,1988,"Dayton, OH",2000,43
1988,1988,"Daytona Beach, FL",2020,35
1988,1988,"Denver, CO",2080,254
1988,1988,"Detroit, MI",2160,320
1988,1988,"El Paso, TX",2320,18
1988,1988,"Fort Lauderdale, FL",2680,357
1988,1988,"Fort Wayne, IN",2760,5
1988,1988,"Fort Worth, TX",2800,120
1988,1988,"Fresno, CA",2840,41
1988,1988,"Gary, IN",2960,8
1988,1988,"Grand Rapids, MI",3000,24
1988,1988,"Greensboro, NC",3120,42
1988,1988,"Greenvile, SC",3160,19
1988,1988,"Harrisburg, PA",3240,38
1988,1988,"Hartford, CT",3283,104
1988,1988,"Honolulu, HI",3320,86
1988,1988,"Houston, TX",3360,902
1988,1988,"Indianapolis, IN",3480,40
1988,1988,"Jacksonville, FL",3600,161
1988,1988,"Jersey City, NJ",3640,457
1988,1988,"Kansas City, MO",3760,234
1988,1988,"Knoxville, TN",3840,25
1988,1988,"Las Vegas, NV",4120,87
1988,1988,"Little Rock, AR",4400,31
1988,1988,"Los Angeles, CA",4480,1884
1988,1988,"Louisville, KY",4520,45
1988,1988,"McAllen-Edinburg-Mission, TX",4880,1
1988,1988,"Memphis, TN",4920,102
