aids_reported_by_1995,cityfip,Location
310,0080,"Akron, OH"
990,0160,"Albany-Schenectady, NY"
642,0200,"Albuquerque, N.M."
452,0240,"Allentown, PA"
246,0440,"Ann Arbor, MI"
9530,0520,"Atlanta, GA"
2422,0640,"Austin, TX"
505,0680,"Bakersfield, CA"
7614,0720,"Baltimore, MD"
775,0760,"Baton Rouge, LA"
3537,0875,"Bergen-Passaic, NJ"
1010,1000,"Birmingham, AL"
8808,1123,"Boston, MA"
880,1280,"Buffalo, NY"
859,1440,"Charleston, SC"
1190,1520,"Charlotte, NC"
13149,1600,"Chicago, IL"
1190,1640,"Cincinnati, OH"
1996,1680,"Cleveland, OH"
280,1720,"Colorado Springs, CO"
977,1760,"Columbia, SC"
1488,1840,"Columbus, OH"
7826,1920,"Dallas, TX"
608,2000,"Dayton, OH"
635,2020,"Daytona Beach, FL"
3857,2080,"Denver, CO"
4635,2160,"Detroit, MI"
469,2320,"El Paso, TX"
7199,2680,"Fort Lauderdale, FL"
155,2760,"Fort Wayne, IN"
2037,2800,"Fort Worth, TX"
693,2840,"Fresno, CA"
392,2960,"Gary, IN"
473,3000,"Grand Rapids, MI"
996,3120,"Greensboro, NC"
770,3160,"Greenvile, SC"
507,3240,"Harrisburg, PA"
2168,3283,"Hartford, CT"
1215,3320,"Honolulu, HI"
11826,3360,"Houston, TX"
1686,3480,"Indianapolis, IN"
2640,3600,"Jacksonville, FL"
4317,3640,"Jersey City, NJ"
2654,3760,"Kansas City, MO"
391,3840,"Knoxville, TN"
1737,4120,"Las Vegas, NV"
614,4400,"Little Rock, AR"
28475,4480,"Los Angeles, CA"
728,4520,"Louisville, KY"
172,4880,"McAllen-Edinburg-Mission, TX"
1434,4920,"Memphis, TN"
14147,5000,"Miami, FL"
2050,5015,"Middlesex, NJ"
1173,5080,"Milwaukee, WI"
2122,5120,"Minneapolis-St Paul, MN"
655,5160,"Mobile, Al"
1807,5190,"Monmouth-Ocean City, NJ"
1243,5360,"Nashville, TN"
4171,5380,"Nassau-Suffolk, NY"
3823,5483,"New Haven, CT"
4052,5560,"New Orleans, LA"
74610,5600,"New York, NY"
10652,5640,"Newark, NJ"
1799,5720,"Norfolk, VA"
5495,5775,"Oakland, CA"
1047,5880,"Oklahoma City, OK"
429,5920,"Omaha, NE"
3689,5945,"Orange County, CA"
3226,5960,"Orlando, FL"
10526,6160,"Philadelphia, PA"
3013,6200,"Phoenix, AZ"
1565,6280,"Pittsburgh, PA"
2585,6440,"Portland, OR"
1198,6483,"Providence, RI"
1185,6640,"Raleigh-Durham, NC"
1413,6760,"Richmond, VA"
4247,6780,"Riverside-S Berndino, CA"
1229,6840,"Rochester, NY"
2153,6920,"Sacramento, CA"
2909,7040,"Saint Louis, MO"
931,7160,"Salt Lake City, UT"
2362,7240,"San Antonio, TX"
6738,7320,"San Diego, CA"
21271,7360,"San Francisco, CA"
2104,7400,"San Jose, CA"
9363,7440,"San Juan, PR"
846,7510,"Sarasota, FL"
261,7560,"Scranton, PA"
4598,7600,"Seattle, WA"
936,8003,"Springfield, MA"
459,8120,"Stockton, CA"
709,8160,"Syracuse, NY"
496,8200,"Tacoma, WA"
4938,8280,"Tampa-Saint Petersburg, FL"
355,8400,"Toledo, OH"
892,8520,"Tucson, AZ"
667,8560,"Tulsa, OK"
839,8720,"Vallejo-Fairfield-Napa, CA"
483,8735,"Ventura, CA"
13381,8840,"Washington, DC"
4026,8960,"West Palm Beach, FL"
411,9040,"Wichita, KS"
986,9160,"Wilmington, DE"
214,9320,"Youngstown, OH"
