cityfip,year_rwca_status,aids_ever_1995_imp,rank_1995,state_postal
 1840 ,2013,NA,1,OH
 0760 ,2007,NA,2,LA
 1520 ,2007,NA,3,NC
 5360 ,2007,NA,4,TN
 4920 ,2007,NA,5,TN
 3480 ,2007,NA,6,IN
 5720 ,1999,NA,7,VA
 4120 ,1999,NA,8,NV
 2800 ,1996,NA,9,TX
 1680 ,1996,NA,10,OH
 5015 ,1996,NA,11,NJ
 6920 ,1996,NA,12,CA
 7400 ,1996,NA,13,CA
 5120 ,1996,NA,14,MN
 3283 ,1996,NA,15,CT
 0640 ,1995,NA,16,TX
 7240 ,1995,NA,17,TX
 6440 ,1995,NA,18,OR
 3600 ,1995,NA,19,FL
 3760 ,1994,NA,20,MO
 7040 ,1994,NA,21,MO
 6200 ,1994,NA,22,AZ
 5960 ,1994,NA,23,FL
 0875 ,1994,NA,24,NJ
 5483 ,1994,NA,25,CT
 2080 ,1994,NA,26,CO
 6780 ,1994,NA,27,CA
 8960 ,1994,NA,28,FL
 8280 ,1993,NA,29,FL
 5560 ,1993,NA,30,LA
 7600 ,1993,NA,31,WA
 2160 ,1993,NA,32,MI
 5945 ,1993,NA,33,CA
 5380 ,1993,NA,34,NY
 0720 ,1992,NA,35,MD
 5775 ,1992,NA,36,CA
 3640 ,1991,NA,37,NJ
 7320 ,1991,NA,38,CA
 2680 ,1991,NA,39,FL
 1920 ,1991,NA,40,TX
 1123 ,1991,NA,41,MA
 0520 ,1991,NA,42,GA
 6160 ,1991,NA,43,PA
 5640 ,1991,NA,44,NJ
 3360 ,1991,NA,45,TX
 1600 ,1991,NA,46,IL
 8840 ,1991,NA,47,DC
 5000 ,1991,NA,48,FL
 7360 ,1991,NA,49,CA
 4480 ,1991,NA,50,CA
 5600 ,1991,NA,51,NY
 2760 ,NA,NA,52,IN
 4880 ,NA,NA,53,TX
 9320 ,NA,NA,54,OH
 0440 ,NA,NA,55,MI
 7560 ,NA,NA,56,PA
 1720 ,NA,NA,57,CO
 0080 ,NA,NA,58,OH
 8400 ,NA,NA,59,OH
 2960 ,NA,NA,60,IN
 3840 ,NA,NA,61,TN
 9040 ,NA,NA,62,KS
 5920 ,NA,NA,63,NE
 0240 ,NA,NA,64,PA
 8120 ,NA,NA,65,CA
 3000 ,NA,NA,66,MI
 8735 ,NA,NA,67,CA
 8200 ,NA,NA,68,WA
 2320 ,NA,NA,69,TX
 3240 ,NA,NA,70,PA
 0680 ,NA,NA,71,CA
 2000 ,NA,NA,72,OH
 4400 ,NA,NA,73,AR
 0200 ,NA,NA,74,NM
 2020 ,NA,NA,75,FL
 8160 ,NA,NA,76,NY
 5160 ,NA,NA,77,Al
 8560 ,NA,NA,78,OK
 2840 ,NA,NA,79,CA
 4520 ,NA,NA,80,KY
 3160 ,NA,NA,81,SC
 1280 ,NA,NA,82,NY
 8720 ,NA,NA,83,CA
 8520 ,NA,NA,84,AZ
 7510 ,NA,NA,85,FL
 1440 ,NA,NA,86,SC
 7160 ,NA,NA,87,UT
 8003 ,NA,NA,88,MA
0160 ,NA,NA,89,NY
 3120 ,NA,NA,90,NC
 1760 ,NA,NA,91,SC
 1000 ,NA,NA,92,AL
 5880 ,NA,NA,93,OK
 9160 ,NA,NA,94,DE
 1640 ,NA,NA,95,OH
 6640 ,NA,NA,96,NC
 6483 ,NA,NA,97,RI
 6840 ,NA,NA,98,NY
 5080 ,NA,NA,99,WI
 6760 ,NA,NA,100,VA
 6280 ,NA,NA,101,PA
 5190 ,NA,NA,102,NJ
